Date,Price,Open,High,Low,Change,Month,Year,Change1,
Feb-06,175.55,176.97,179.39,169.27,-0.71%,2,2006,0.00,
Jan-06,176.80,167.48,180.70,143.66,6.00%,1,2006,1.00,
Dec-05,166.79,156.23,168.95,155.10,6.80%,12,2005,1.00,
Nov-05,156.17,145.73,162.39,137.85,9.20%,11,2005,1.00,
Oct-05,143.01,147.23,151.90,137.85,-3.91%,10,2005,0.00,
Sep-05,148.83,134.85,157.54,134.85,10.31%,9,2005,1.00,
Aug-05,134.92,131.85,149.85,128.11,2.28%,8,2005,1.00,
Jul-05,131.91,120.59,133.52,114.27,9.46%,7,2005,1.00,
Jun-05,120.51,100.90,126.60,99.03,20.10%,6,2005,1.00,
May-05,100.34,99.31,104.23,96.70,1.31%,5,2005,1.00,
Apr-05,99.04,104.47,108.20,96.03,-3.29%,4,2005,0.00,
Mar-05,102.41,104.56,112.68,101.11,-1.83%,3,2005,0.00,
Feb-05,104.32,100.13,112.12,99.15,4.50%,2,2005,1.00,
Jan-05,99.83,101.16,103.15,91.90,-0.27%,1,2005,0.00,
Dec-04,100.10,98.09,102.76,88.54,3.23%,12,2004,1.00,
Nov-04,96.97,99.76,110.09,91.34,-2.29%,11,2004,0.00,
Oct-04,99.24,97.17,112.53,96.07,2.17%,10,2004,1.00,
Sep-04,97.13,89.21,97.48,87.89,8.88%,9,2004,1.00,
Aug-04,89.21,91.52,104.09,84.12,-2.70%,8,2004,0.00,
Jul-04,91.69,82.41,91.99,75.02,13.79%,7,2004,1.00,
Jun-04,80.58,81.58,85.94,76.74,-0.04%,6,2004,0.00,
May-04,80.61,98.84,118.73,71.59,-18.36%,5,2004,0.00,
Apr-04,98.74,101.09,121.91,97.94,-2.15%,4,2004,0.00,
Mar-04,100.91,106.72,112.53,94.76,-3.00%,3,2004,0.00,
Feb-04,104.03,105.40,116.28,101.09,-1.05%,2,2004,0.00,
Jan-04,105.13,108.78,113.64,98.89,-2.15%,1,2004,0.00,
